,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.05,p_a=0.1
42,10000,0.1,1.0,2,250,real_weights,1,0.5,0.0025000000000000005,4415.01806640625,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
43,1000,0.1,1.0,2,250,real_weights,1,0.5,0.0025000000000000005,436.4147644042969,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
9,5000,0.1,1.0,2,250,real_weights,3,0.5,0.0011222222222222224,430.6991271972656,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
129,5000,0.01,1.0,2,250,real_weights,1,0.5,2.5e-05,2242.133056640625,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
127,5000,0.01,0.75,2,250,real_weights,1,0.5,2.5e-05,2287.390625,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
3,5000,0.01,1.0,2,250,real_weights,3,0.5,1.1222222222222222e-05,452.77978515625,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
100,10000,0.1,1.0,2,250,real_weights,3,0.5,0.0011222222222222224,872.7184448242188,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
2,10000,0.01,1.0,2,250,real_weights,1,0.5,2.5e-05,4556.42919921875,0.9999999999999999,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
27,1000,0.0,0.75,2,250,real_weights,1,0.5,0.0,451.9655456542969,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
143,5000,0.0,1.0,2,250,real_weights,3,0.0,0.0,459.8836669921875,0.9999999999999998,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
145,5000,0.01,0.5,2,250,real_weights,3,0.0,1.1222222222222222e-05,376.1544494628906,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
141,5000,0.0,0.75,2,250,real_weights,3,0.0,0.0,471.57293701171875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
139,5000,0.0,0.5,2,250,real_weights,3,0.0,0.0,370.5199279785156,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
123,5000,0.0,1.0,2,250,real_weights,1,0.0,0.0,2239.260498046875,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
137,10000,0.01,0.75,2,250,real_weights,1,0.0,2.5e-05,4616.1123046875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
110,10000,0.1,0.5,2,250,real_weights,15,0.0,0.0007890625000000004,457.7425537109375,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
111,10000,0.0,1.0,2,250,real_weights,1,0.0,0.0,4552.44921875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
136,5000,0.1,1.0,2,250,real_weights,1,0.0,0.0025000000000000005,2226.9677734375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
134,5000,0.1,0.75,2,250,real_weights,1,0.0,0.0025000000000000005,2261.1884765625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
113,10000,0.1,0.75,2,250,real_weights,15,0.0,0.0007890625000000004,498.8551330566406,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
115,10000,0.1,1.0,2,250,real_weights,15,0.0,0.0007890625000000004,394.5794982910156,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
132,5000,0.1,0.5,2,250,real_weights,1,0.0,0.0025000000000000005,2082.79638671875,0.9999999999999998,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
117,10000,0.01,0.5,2,250,real_weights,1,0.0,2.5e-05,4271.201171875,0.9999999999999998,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
130,5000,0.01,1.0,2,250,real_weights,1,0.0,2.5e-05,2242.133056640625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
119,5000,0.0,0.5,2,250,real_weights,1,0.0,0.0,2119.62744140625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
128,5000,0.01,0.75,2,250,real_weights,1,0.0,2.5e-05,2287.390625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
121,5000,0.0,0.75,2,250,real_weights,1,0.0,0.0,2280.848388671875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
125,5000,0.01,0.5,2,250,real_weights,1,0.0,2.5e-05,2135.171630859375,0.9999999999999998,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
101,10000,0.1,1.0,2,250,real_weights,3,0.0,0.0011222222222222224,872.7184448242188,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
