,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.05,p_a=0.1
105,5000,0.5,0.75,2,250,real_weights,3,0.1,3303.903564453125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
14,10000,0.5,1.0,2,250,real_weights,3,0.5,7704.939453125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
8,10000,0.5,0.5,2,250,real_weights,1,0.25,6117.48974609375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
38,10000,0.5,1.0,2,250,real_weights,50,0.1,1369.9832763671875,0.9999999999999998,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
119,5000,0.5,0.75,2,250,real_weights,15,0.25,2395.657470703125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
131,5000,0.5,0.75,2,250,real_weights,50,0.1,608.2737426757812,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
142,10000,0.5,1.0,2,250,real_weights,1,0.5,6063.9521484375,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
141,10000,0.5,1.0,2,250,real_weights,1,0.25,6063.9521484375,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
2,1000,0.5,0.5,2,250,real_weights,1,0.5,598.9421997070312,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
138,5000,0.5,0.5,2,250,real_weights,50,0.5,924.605712890625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
137,5000,0.5,0.5,2,250,real_weights,50,0.25,924.605712890625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
136,5000,0.5,0.5,2,250,real_weights,50,0.1,924.605712890625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
134,5000,0.5,0.75,2,250,real_weights,50,0.5,608.2737426757812,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
132,5000,0.5,0.75,2,250,real_weights,50,0.25,608.2737426757812,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
